inscricao,nota_final_fase_2
 10004387, 77.67 
 10020890, 77.67 
 10009325, 77.67 
 10009947, 77.67 
 10019308, 77.67 
 10006306, 77.50 
 10008572, 77.50 
 10027689, 77.50 
 10003142, 77.50 
 10026582, 77.50 
 10018795, 77.50 
 10007290, 77.50 
 10006630, 77.50 
 10020091, 77.50 
 10004999, 77.50 
 10006483, 77.50 
 10028844, 77.50 
 10017779, 77.50 
 10008677, 77.50 
 10023157, 77.50 
 10023311, 77.50 
 10023950, 77.50 
 10011133, 77.50 
 10020956, 77.50 
 10005701, 77.50 
 10021868, 77.50 
 10001915, 77.50 
 10013437, 77.50 
 10018821, 77.50 
 10023547, 77.50 
 10000630, 77.50 
 10003165, 77.17 
 10013998, 77.17 
 10002557, 77.17 
 10003851, 77.17 
 10023438, 77.17 
 10018512, 77.17 
 10014394, 77.17 
 10004636, 77.00 
 10028335, 77.00 
 10027035, 76.83 
 10019815, 76.67 
 10019686, 76.67 
 10028696, 76.67 
 10008069, 76.67 
 10014973, 76.50 
 10022277, 76.50 
 10019242, 76.50 
 10017038, 76.50 
 10027136, 76.50 
 10016298, 76.50 
 10013141, 76.50 
 10024639, 76.50 
 10016744, 76.33 
 10010081, 76.33 
 10020542, 76.17 
 10004177, 76.17 
 10022709, 76.00 
 10019259, 76.00 
 10029593, 76.00 
 10019193, 76.00 
 10008911, 76.00 
 10014495, 76.00 
 10021939, 76.00 
 10004747, 76.00 
 10010630, 75.50 
 10017809, 75.50 
 10022305, 75.17 
 10016759, 75.17 
 10021004, 75.17 
 10010428, 75.17 
 10024260, 75.17 
 10027553, 75.00 
 10015851, 75.00 
 10014677, 75.00 
 10016647, 74.67 
 10008178, 74.67 
 10024059, 74.67 
 10029617, 74.67 
 10010437, 74.50 
 10018195, 74.50 
 10002339, 74.50 
 10024329, 74.33 
 10021235, 74.33 
 10007130, 74.33 
 10019574, 74.17 
 10009462, 74.17 
 10027023, 74.17 
 10010283, 74.17 
 10000848, 74.17 
 10021307, 74.17 
 10020895, 74.17 
 10011010, 74.17 
 10001381, 74.17 
 10024555, 74.17 
 10025803, 74.17 
 10018648, 74.17 
 10007626, 74.17 
 10002110, 74.17 
 10029924, 74.00 
 10013103, 74.00 
 10002279, 74.00 
 10012250, 73.83 
 10014932, 73.83 
 10014479, 73.83 
 10027442, 73.83 
 10017302, 73.83 
 10001707, 73.67 
 10024560, 73.67 
 10022775, 73.67 
 10003467, 73.67 
 10014692, 73.67 
 10018260, 73.50 
 10014223, 73.33 
 10014885, 73.33 
 10007235, 73.33 
 10020911, 73.33 
 10013062, 73.33 
 10008033, 73.17 
 10003131, 73.17 
 10011017, 73.00 
 10027424, 73.00 
 10020316, 73.00 
 10007781, 73.00 
 10023182, 73.00 
 10013535, 73.00 
 10010586, 73.00 
 10012617, 73.00 
 10026515, 73.00 
 10018941, 73.00 
 10001568, 72.83 
 10020868, 72.67 
 10027463, 72.67 
 10019806, 72.50 
 10003453, 72.17 
 10021436, 72.17 
 10002624, 72.17 
 10004951, 72.17 
 10032547, 72.17 
 10029706, 72.17 
 10013221, 72.17 
 10027227, 72.17 
 10026244, 72.17 
 10027768, 72.17 
 10020133, 72.17 
 10020838, 72.17 
 10020011, 72.00 
 10019755, 72.00 
 10014620, 72.00 
 10012570, 72.00 
 10008850, 72.00 
 10009145, 71.83 
 10026831, 71.83 
 10023989, 71.67 
 10016661, 71.67 
 10026646, 71.67 
 10032178, 71.67 
 10011313, 71.67 
 10003113, 71.50 
 10015272, 71.50 
 10030710, 71.50 
 10016218, 71.50 
 10020413, 71.50 
 10018839, 71.17 
 10028964, 71.17 
 10009483, 71.00 
 10009718, 71.00 
 10024665, 71.00 
 10008800, 70.67 
 10011518, 70.67 
 10023072, 70.50 
 10021799, 70.17 
 10026028, 70.17 
 10031846, 70.00 
 10021470, 70.00 
 10006134, 70.00 
 10020068, 70.00 
 10028661, 70.00 
 10020740, 70.00 
 10003908, 70.00 
 10005864, 70.00 
 10001201, 70.00 
 10014112, 70.00 
 10017476, 70.00 
 10007560, 70.00 
 10022899, 70.00 
 10013465, 70.00 
 10001742, 70.00 
 10007251, 70.00 
 10003381, 70.00 
 10018972, 70.00 
 10010309, 70.00 
